"","geo_id","median_income","gini_index","children","income_per_capita","poverty","geo_income","median_age","total_pop"
"1","19009",42717,"0",1409,24207,661,149744502,46,6105
"2","30097",43723,"0",940,22785,444,84691845,45,5374
"3","46097",43958,"1",504,25450,211,61359950,47,2842
"4","39001",32791,"1",7269,17693,6522,505630554,39,6186
"5","48413",55186,"0",1039,21299,396,71202557,35,3717
"6","46025",43894,"1",881,23909,482,88511118,45,2411
"7","35051",25583,"1",2135,16667,2631,198970646,53,28578
"8","40099",40870,"0",3219,20634,2001,272224362,40,3343
"9","48505",24496,"1",4594,13915,5090,189369235,29,3702
"10","30065",37033,"1",826,20875,765,90576625,49,11938
"11","20143",50814,"0",1571,22665,610,138415155,42,13193
"12","21095",26582,"1",6892,15224,9017,451970112,40,13609
"13","48425",52135,"1",2157,26314,880,215774800,39,4339
"14","51049",40143,"0",2308,19691,1583,194054805,40,6107
"15","45011",33816,"1",5849,17592,5742,400182816,38,29688
"16","13165",27686,"1",2020,17629,1589,148083600,40,8200
"17","16077",40843,"0",2313,18412,848,140538796,34,9855
"18","37143",43041,"1",2654,22085,2348,289114735,46,22748
"19","51119",50207,"1",1793,28539,1092,309105909,50,8400
"20","48247",40000,"0",1312,17163,618,89436393,33,7633
"21","48151",41458,"0",975,20516,551,83233412,45,13091
"22","17017",41544,"0",3499,19825,1686,270571600,38,10831
"23","13155",38376,"1",2408,16561,2344,159681162,37,5211
"24","48131",30493,"1",3177,15134,2598,181592866,36,4057
"25","47133",34347,"0",5073,17720,4092,385888440,41,13648
"26","48369",39753,"0",3187,16926,1866,170918748,32,9642
"27","22091",27393,"1",2860,16387,2550,182305375,38,11999
"28","49055",49414,"0",814,19829,332,53657274,38,21777
"29","26083",38872,"0",469,21307,429,45213454,50,10098
"30","21069",31236,"1",3560,17629,2847,252412022,39,11125
"31","46037",36818,"0",1248,20542,676,117376988,47,2706
"32","31023",44595,"0",2084,22494,756,188544708,44,2122
"33","32009",39712,"1",112,34571,100,30837332,58,14318
"34","29205",35012,"0",1587,18056,748,116262584,42,5714
"35","29053",42586,"0",3850,19234,2256,338191422,37,8382
"36","13049",40850,"1",2852,16652,2261,204986120,36,892
"37","49033",54737,"0",599,25376,148,55345056,40,6439
"38","31035",42909,"0",1682,21147,535,138597438,43,17583
"39","48173",61184,"0",399,26104,148,34378968,39,12310
"40","51097",44442,"0",1449,21777,908,150827502,42,2181
"41","28107",34030,"1",9487,15987,10086,556059834,35,6554
"42","21023",38481,"0",2165,18671,1661,158311409,40,1317
"43","21011",30458,"1",2881,15487,3342,179107155,38,6926
"44","1119",25338,"1",3323,14460,4777,200574660,36,34782
"45","30055",48167,"0",429,23265,147,39876210,46,8479
"46","51071",41186,"0",3791,20985,2538,361046925,42,11565
"47","51181",55030,"0",1593,23835,461,167774565,43,13871
"48","20071",55972,"1",305,28698,83,37135212,45,1714
"49","47121",33506,"1",2546,18768,2856,217352208,40,17205
"50","46039",47000,"0",1037,22276,261,97412948,43,7039
"51","20063",41295,"0",593,22775,246,61970775,48,1294
"52","47015",38733,"0",3124,18076,1839,246393956,40,11581
"53","13079",37062,"1",3013,20692,2627,265292132,39,4373
"54","48137",40163,"1",428,31109,496,63120161,42,2721
"55","48327",40996,"1",376,23362,399,51676744,50,13631
"56","47083",33738,"1",2026,17791,1570,147416226,41,12821
"57","20187",49612,"0",588,19196,122,42173612,38,2029
"58","38019",48786,"0",805,26468,325,107089528,50,2212
"59","5049",30598,"0",2666,17067,2421,209292621,46,8286
"60","13235",36262,"0",2351,16621,1203,193335472,40,2197
"61","28069",25649,"1",2516,12903,2544,135094410,37,4046
"62","46033",46743,"0",1507,24353,734,196894005,49,12263
"63","35023",36733,"1",1320,17451,1120,86626764,37,11632
"64","51183",37978,"0",2118,16735,2199,203614745,41,10470
"65","48503",36900,"1",4476,24656,2828,451155488,41,8085
"66","48133",32452,"1",4181,17973,3701,333578880,41,4964
"67","35011",30643,"1",364,20769,383,36802668,49,12167
"68","48353",37102,"1",3796,19973,2819,299395270,38,18298
"69","56009",54599,"0",3390,27656,1023,370701024,39,18560
"70","17129",56230,"0",2998,26281,964,333821262,42,1772
"71","41001",39704,"1",3367,21683,3189,350180450,47,14990
"72","21223",47798,"0",2217,21161,1486,187740392,38,13404
"73","13019",32202,"1",4837,16049,4145,300244692,37,12702
"74","48421",50069,"0",898,21587,386,64761000,36,16150
"75","20153",39797,"0",519,22895,320,59389630,50,8872
"76","38011",48063,"1",654,27354,201,84852108,47,18708
"77","16073",33441,"1",3379,17373,2510,197861097,35,3000
"78","54073",38882,"0",1621,18770,993,143853280,42,2594
"79","12077",40777,"1",1438,17003,1087,139934690,37,3102
"80","21147",22643,"1",4473,12197,5971,221034034,36,11389
"81","5113",32525,"0",4949,16913,4123,346547370,43,7664
